d(nm), G(d), C(d)
284.60, 6.64,  1
320.67, 12.13,  2
345.67, 17.05,  3
365.73, 21.59,  4
382.95, 25.85,  5
398.20, 29.85,  6
412.09, 33.65,  7
424.98, 37.27,  8
435.82, 40.37,  9
448.28, 43.97, 10
459.11, 47.11, 11
469.59, 50.14, 12
479.68, 53.05, 13
489.35, 55.81, 14
498.79, 58.47, 15
507.96, 61.02, 16
516.86, 63.44, 17
525.68, 65.80, 18
534.19, 68.01, 19
542.60, 70.15, 20
551.14, 72.27, 21
559.33, 74.23, 22
567.40, 76.10, 23
575.58, 77.94, 24
583.63, 79.68, 25
591.54, 81.32, 26
599.29, 82.87, 27
607.14, 84.37, 28
615.10, 85.82, 29
622.89, 87.17, 30
630.50, 88.43, 31
638.21, 89.63, 32
646.01, 90.77, 33
653.91, 91.86, 34
661.61, 92.86, 35
669.41, 93.79, 36
677.01, 94.64, 37
684.99, 95.46, 38
692.76, 96.18, 39
700.62, 96.85, 40
708.26, 97.43, 41
716.30, 97.98, 42
724.42, 98.46, 43
732.33, 98.87, 44
740.31, 99.21, 45
748.71, 99.50, 46
756.78, 99.72, 47
765.07, 99.87, 48
773.32, 99.97, 49
781.92, 100.00, 50
790.62, 99.97, 51
799.14, 99.87, 52
807.89, 99.72, 53
816.60, 99.50, 54
825.86, 99.21, 55
834.87, 98.87, 56
787.92, 99.98, 57
853.56, 97.98, 58
863.24, 97.43, 59
872.66, 96.85, 60
882.56, 96.18, 61
892.57, 95.46, 62
903.09, 94.64, 63
913.34, 93.79, 64
924.10, 92.86, 65
934.99, 91.86, 66
946.42, 90.77, 67
957.99, 89.63, 68
969.71, 88.43, 69
981.56, 87.17, 70
993.99, 85.82, 71
1007.02, 84.37, 72
1020.21, 82.87, 73
1033.58, 81.32, 74
1047.58, 79.68, 75
1062.23, 77.94, 76
1077.55, 76.10, 77
1093.09, 74.23, 78
1109.34, 72.27, 79
1126.80, 70.15, 80
1144.54, 68.01, 81
1163.07, 65.80, 82
1182.92, 63.44, 83
1203.63, 61.02, 84
1225.77, 58.47, 85
1249.40, 55.81, 86
1274.59, 53.05, 87
1301.98, 50.14, 88
1331.70, 47.11, 89
1363.86, 43.97, 90
1402.88, 40.37, 91
1438.64, 37.27, 92
1483.66, 33.65, 93
1535.40, 29.85, 94
1596.55, 25.85, 95
1671.71, 21.59, 96
1768.72, 17.05, 97
1906.62, 12.13, 98
2148.28, 6.64, 99
